"Haltestellen_Id";"Haltestellennummer";"Haltestellenkurzname";"Haltestellenlangname"
272;6594;"AHOR";"Adliswil, Ahornweg"
270;148;"ABAD01";"Adliswil, Badstrasse"
683;28;"BADL01";"Adliswil, Bahnhof"
273;6593;"EWEG";"Adliswil, Eichenweg"
682;6961;"AGRU";"Adliswil, Grundstrasse"
267;6437;"GRUT";"Adliswil, Grüt"
271;1227;"HOFA01";"Adliswil, Hofackerstrasse"
269;1462;"KROA01";"Adliswil, Krone"
680;6592;"ADMO";"Adliswil, Moos"
268;2660;"TIAK01";"Adliswil, Tiefacker"
518;6600;"IMBR";"Aesch bei Maur, Im Brünneli"
519;6599;"ZOLL";"Aesch bei Maur, Zollingerheim"
585;445;"BEBO";"Benglen, Bodenacher"
584;446;"BGER";"Benglen, Gerlisbrunnen"
513;6778;"BLAN";"Benglen, Langwis"
569;425;"DBAL";"Bergdietikon, Baltenschwil"
567;457;"BERL";"Bergdietikon, Bergli"
566;466;"BOLD";"Bergdietikon, Bernold"
570;729;"DUEN";"Bergdietikon, Dünni"
510;6855;"GAL2";"Bergdietikon, Garage 2 LIBU"
568;2085;"RIEW";"Bergdietikon, Rietwies"
565;2789;"VORB";"Bergdietikon, Vorbühl"
514;6779;"BBAU";"Binz bei Maur, Bautacher"
586;3467;"FMAT";"Binz bei Maur, Fridlimatt"
587;490;"MPOS";"Binz bei Maur, Post"
583;6999;"TWÄR";"Binz bei Maur, Twäracher"
501;501;"BIRMBHF";"Birmensdorf ZH, Bahnhof"
502;6744;"RIST";"Birmensdorf ZH, Ristet"
739;2570;"BIRMSTE";"Birmensdorf ZH, Sternen/WSL"
740;2748;"BIRMURI";"Birmensdorf ZH, Untere Risi"
463;3560;"SPHE";"D'dorf, Sportanl Heerenschürli"
212;657;"BDIE";"Dietikon, Bahnhof"
606;414;"BSTD";"Dietikon, Bahnhofstrasse"
507;502;"BIRM";"Dietikon, Birmensdorferstrasse"
647;725;"DOER";"Dietikon, Dörfli"
173;6038;"GALI";"Dietikon, Garage Limmatbus AG"
562;990;"GJUC";"Dietikon, Gjuchstrasse"
610;6693;"DGYR";"Dietikon, Gyrhalden"
556;1091;"HAGA";"Dietikon, Hagackerstrasse"
609;1265;"HATS";"Dietikon, Hätschen"
211;6894;"DHEI";"Dietikon, Heimstrasse"
646;1226;"HACK";"Dietikon, Hofacker"
614;1417;"KIPL";"Dietikon, Kirchplatz"
612;6695;"DLAE";"Dietikon, Lätten"
557;1540;"LERZ";"Dietikon, Lerzen"
571;1616;"MARW";"Dietikon, Marmori-Weiher"
555;2399;"DMOO";"Dietikon, Moosmatt"
608;1758;"ODIE";"Dietikon, Oberdorf"
561;1843;"OETW";"Dietikon, Oetwilerstrasse"
558;1868;"PEST";"Dietikon, Pestalozzi"
559;1039;"DRAP";"Dietikon, Rapidplatz"
508;2313;"SBAC";"Dietikon, Schäflibach"
