"Tagtyp_Id";"Linien_Id";"Linienname";"Plan_Fahrt_Id";"Richtung";"Sequenz";"Haltestellen_Id";"Nach_Hst_Id";"FZ_AB";"Anzahl_Messungen";"Einsteiger";"Aussteiger";"Besetzung";"Distanz";"Tage_DTV";"Tage_DWV";"Tage_SA";"Tage_SO";"Nachtnetz";"Tage_SA_N";"Tage_SO_N";"ID_Abschnitt"
15;60;"704";91534;2;1;576;575;"05:38:00";11;4.63;0.00;4.63;1150;100.40;100.40;0.00;0.00;0;0;0;57600575
15;60;"704";91534;2;2;575;574;"05:39:54";11;0.00;0.00;4.63;834;100.40;100.40;0.00;0.00;0;0;0;57500574
15;60;"704";91534;2;3;574;451;"05:41:12";11;0.09;1.63;3.09;690;100.40;100.40;0.00;0.00;0;0;0;57400451
15;60;"704";91534;2;4;451;511;"05:42:48";11;1.63;1.27;3.45;478;100.40;100.40;0.00;0.00;0;0;0;45100511
15;60;"704";91534;2;5;511;512;"05:44:00";11;0.09;0.00;3.54;720;100.40;100.40;0.00;0.00;0;0;0;51100512
15;60;"704";91534;2;6;512;577;"05:45:12";11;0.00;0.00;3.54;458;100.40;100.40;0.00;0.00;0;0;0;51200577
15;60;"704";91534;2;7;577;578;"05:46:18";11;2.72;0.00;6.27;400;100.40;100.40;0.00;0.00;0;0;0;57700578
15;60;"704";91534;2;8;578;579;"05:47:12";11;0.45;0.00;6.72;506;100.40;100.40;0.00;0.00;0;0;0;57800579
15;60;"704";91534;2;9;579;580;"05:48:12";11;1.09;0.00;7.81;250;100.40;100.40;0.00;0.00;0;0;0;57900580
15;60;"704";91534;2;10;580;581;"05:49:00";11;0.45;0.09;8.18;1133;100.40;100.40;0.00;0.00;0;0;0;58000581
15;60;"704";91534;2;11;581;582;"05:50:24";11;0.45;0.00;8.63;287;100.40;100.40;0.00;0.00;0;0;0;58100582
15;60;"704";91534;2;12;582;382;"05:51:00";11;1.09;0.00;9.72;382;100.40;100.40;0.00;0.00;0;0;0;58200382
15;60;"704";91534;2;13;382;380;"05:52:06";11;2.63;0.27;12.09;587;100.40;100.40;0.00;0.00;0;0;0;38200380
15;60;"704";91534;2;14;380;358;"05:53:18";11;1.90;0.00;14.00;2219;100.40;100.40;0.00;0.00;0;0;0;38000358
