Linienname;VSYS;Capacity
29;B;82.71
35;B;82.71
37;B;82.71
38;B;82.71
39;B;82.71
40;B;82.71
54;B;82.71
61;B;82.71
62;B;82.71
64;B;82.71
66;B;82.71
67;B;82.71
69;B;82.71
70;B;82.71
73;B;82.71
75;B;82.71
76;B;82.71
77;B;82.71
78;B;82.71
79;B;82.71
80;B;82.71
83;B;82.71
89;B;82.71
94;B;82.71
701;B;82.71
703;B;82.71
704;B;82.71
705;B;82.71
743;B;82.71
744;B;82.71
745;B;82.71
751;B;82.71
753;B;82.71
301;B;82.71
302;B;82.71
303;B;82.71
304;B;82.71
305;B;82.71
306;B;82.71
307;B;82.71
308;B;82.71
309;B;82.71
311;B;82.71
314;B;82.71
315;B;82.71
325;B;82.71
330;B;82.71
331;B;82.71
91;B;82.71
910;B;82.71
912;B;82.71
916;B;82.71
917;B;82.71
918;B;82.71
919;B;82.71
161;B;82.71
162;B;82.71
163;B;82.71
165;B;82.71
184;B;82.71
185;B;82.71
45;B;82.71
417;FB;#N/A
418;FB;#N/A
419;FB;#N/A
341;N;#N/A
342;N;#N/A
343;N;#N/A
344;N;#N/A
345;N;#N/A
346;N;#N/A
347;N;#N/A
348;N;#N/A
349;N;#N/A
352;N;#N/A
391;N;#N/A
392;N;#N/A
394;N;#N/A
395;N;#N/A
396;N;#N/A
397;N;#N/A
398;N;#N/A
25;SB;#N/A
10;T;133.29
11;T;133.29
12;T;133.29
13;T;133.29
14;T;133.29
15;T;133.29
17;T;133.29
2;T;133.29
3;T;133.29
4;T;133.29
5;T;133.29
6;T;133.29
7;T;133.29
8;T;133.29
9;T;133.29
31;TR;138.5
32;TR;138.5
33;TR;138.5
411;TR;138.5
412;TR;138.5
46;TR;138.5
72;TR;138.5
